City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,oktyabrskiy,54.4815,53.471,258.44,94,100,2.99,RU,1670195803
1,puerto ayora,-0.7393,-90.3518,294.57,89,76,2.24,EC,1670195806
2,hermanus,-34.4187,19.2345,283.6,74,56,1.91,ZA,1670195808
3,save,8.0425,2.486,300.24,70,36,3.12,BJ,1670195812
4,lebu,-37.6167,-73.65,287.99,80,0,6.03,CL,1670195815
5,arlit,18.7369,7.3853,298.52,17,78,3.5,NE,1670195817
6,saint-augustin,51.226,-58.6502,274.68,98,99,4.04,CA,1670195819
7,port elizabeth,-33.918,25.5701,289.44,97,100,3.6,ZA,1670195822
8,longyearbyen,78.2186,15.6401,273.06,93,100,1.54,SJ,1670195826
9,issoire,45.55,3.25,273.74,92,76,0.6,FR,1670195828
10,bethel,41.3712,-73.414,276.84,65,0,0.0,US,1670195831
11,narsaq,60.9167,-46.05,262.27,60,37,3.59,GL,1670195833
12,butaritari,3.0707,172.7902,300.07,80,35,5.43,KI,1670195836
13,chokurdakh,70.6333,147.9167,233.19,100,45,1.7,RU,1670195838
14,kishi,9.0833,3.85,299.34,30,3,1.08,NG,1670195840
15,ushuaia,-54.8,-68.3,281.96,61,75,9.26,AR,1670195843
16,mataura,-46.1927,168.8643,283.42,68,100,1.22,NZ,1670195845
17,carlsbad,33.1581,-117.3506,295.31,77,100,4.12,US,1670195847
18,santa fe,-31.6333,-60.7,305.36,37,0,1.34,AR,1670195745
19,faanui,-16.4833,-151.75,300.01,76,13,6.59,PF,1670195854
20,castro,-24.7911,-50.0119,291.84,97,100,1.84,BR,1670195856
21,bluff,-46.6,168.3333,283.6,66,100,3.14,NZ,1670195859
22,punta arenas,-53.15,-70.9167,281.21,61,40,12.35,CL,1670195588
23,new norfolk,-42.7826,147.0587,285.33,70,100,2.24,AU,1670195863
24,biak,-0.9131,122.8766,298.68,81,100,0.88,ID,1670195865
25,rikitea,-23.1203,-134.9692,297.2,82,75,6.26,PF,1670195868
26,panaba,21.2833,-88.2667,298.68,66,16,6.07,MX,1670195870
27,westport,41.1415,-73.3579,278.01,60,0,0.0,US,1670195872
28,todos santos,23.45,-110.2167,304.29,72,100,3.93,MX,1670195875
29,pachora,20.6667,75.35,295.6,62,74,2.05,IN,1670195877
30,kabinda,-6.1333,24.4833,291.12,99,100,1.66,CD,1670195879
31,saint-philippe,-21.3585,55.7679,295.92,83,74,3.55,RE,1670195882
32,baykit,61.67,96.37,256.67,93,100,3.31,RU,1670195884
33,japura,-0.3167,102.35,295.42,98,100,0.63,ID,1670195889
34,jiwani,25.05,61.7417,296.87,49,0,2.21,PK,1670195891
35,kalabo,-14.97,22.6814,297.24,36,50,3.46,ZM,1670195893
36,vaini,-21.2,-175.2,299.24,89,75,4.63,TO,1670195896
37,murray bridge,-35.1167,139.2667,289.89,62,100,7.38,AU,1670195695
38,port alfred,-33.5906,26.891,291.03,89,100,0.45,ZA,1670195902
39,fairbanks,64.8378,-147.7164,264.31,86,0,0.0,US,1670195889
40,port blair,11.6667,92.75,301.17,83,40,3.6,IN,1670195906
41,cabo san lucas,22.8909,-109.9124,303.76,57,0,0.0,MX,1670195909
42,zahirabad,17.6833,77.6167,291.9,74,79,3.2,IN,1670195911
43,alice springs,-23.7,133.8833,305.9,14,0,6.69,AU,1670195913
44,cordeiro,-22.0286,-42.3608,292.58,98,100,0.97,BR,1670195916
45,jalu,29.0331,21.5482,288.9,51,5,4.34,LY,1670195918
46,pontianak,-0.0333,109.3333,296.14,100,40,0.0,ID,1670195920
47,east london,-33.0153,27.9116,293.1,90,100,7.83,ZA,1670195923
48,biltine,14.5333,20.9167,294.51,16,56,5.54,TD,1670195925
49,hilo,19.7297,-155.09,299.6,70,75,3.09,US,1670195885
50,isangel,-19.55,169.2667,304.21,79,100,3.6,VU,1670195929
51,mar del plata,-38.0023,-57.5575,294.31,80,20,4.63,AR,1670195739
52,olafsvik,64.8945,-23.7142,279.24,75,95,2.26,IS,1670195934
53,barrow,71.2906,-156.7887,266.16,86,100,11.83,US,1670195936
54,cururupu,-1.8283,-44.8683,296.99,93,94,1.41,BR,1670195891
55,atar,20.5169,-13.0499,293.71,27,0,0.58,MR,1670195941
56,ugoofaaru,5.6667,73.0,298.92,81,100,3.83,MV,1670195943
57,primero de enero,21.9469,-78.4283,296.41,62,5,3.97,CU,1670195946
58,beringovskiy,63.05,179.3167,262.04,84,100,4.68,RU,1670195948
59,abinsk,44.8726,38.1611,271.55,79,58,5.36,RU,1670195950
60,provideniya,64.3833,-173.3,274.21,93,100,9.0,RU,1670195955
61,saskylakh,71.9167,114.0833,250.12,96,100,7.01,RU,1670195903
62,jamestown,42.097,-79.2353,273.16,59,0,4.12,US,1670195800
63,batagay-alyta,67.8006,130.4114,249.2,100,100,0.68,RU,1670195962
64,cap malheureux,-19.9842,57.6142,297.85,71,65,3.13,MU,1670195964
65,novobirilyussy,56.9514,90.6661,247.77,99,12,0.72,RU,1670195967
66,bowen,-20.0167,148.2333,299.27,56,0,1.09,AU,1670195969
67,hofn,64.2539,-15.2082,278.67,36,28,3.08,IS,1670195971
68,busselton,-33.65,115.3333,289.32,68,100,5.88,AU,1670195974
69,inza,53.8533,46.3586,259.58,92,30,1.43,RU,1670195976
70,niwari,28.8833,77.5333,287.27,39,0,1.59,IN,1670195978
71,shenjiamen,29.9576,122.298,284.57,81,100,9.53,CN,1670195981
72,machiques,10.0644,-72.545,296.99,88,84,2.65,VE,1670195983
73,meulaboh,4.1363,96.1285,297.71,90,100,3.73,ID,1670195985
74,cape town,-33.9258,18.4232,290.38,65,0,6.69,ZA,1670195929
75,aksehir,38.3575,31.4164,279.22,80,57,1.21,TR,1670195990
76,khatanga,71.9667,102.5,255.01,97,100,3.19,RU,1670195992
77,katherine,-14.4667,132.2667,302.33,65,22,4.12,AU,1670195994
78,kargopol,61.5071,38.9456,264.02,85,100,3.42,RU,1670196004
79,stornoway,58.2093,-6.3865,279.13,83,100,3.09,GB,1670196007
80,toppenish,46.3774,-120.3087,273.16,97,100,1.01,US,1670195948
81,champerico,14.3,-91.9167,303.45,75,0,2.42,GT,1670196012
82,ahipara,-35.1667,173.1667,292.47,59,0,2.03,NZ,1670196015
83,centralia,46.7162,-122.9543,274.38,96,100,1.01,US,1670196017
84,atuona,-9.8,-139.0333,298.32,80,13,8.1,PF,1670196020
85,pevek,69.7008,170.3133,256.78,95,100,4.94,RU,1670195906
86,guerrero negro,27.9769,-114.0611,292.77,77,100,5.83,MX,1670196027
87,kulhudhuffushi,6.6221,73.07,298.67,80,100,1.89,MV,1670196029
88,hobart,-42.8794,147.3294,285.52,95,75,8.75,AU,1670196032
89,trairi,-3.2778,-39.2689,299.39,75,45,6.11,BR,1670195810
90,kandalaksha,67.162,32.4123,265.98,96,99,1.41,RU,1670196036
91,antsohihy,-14.8796,47.9875,297.02,91,8,1.48,MG,1670196038
92,norman wells,65.282,-126.8329,246.17,83,20,0.0,CA,1670196041
93,yellowknife,62.456,-114.3525,252.44,71,75,4.12,CA,1670196001
94,ponazyrevo,58.3578,46.3142,255.6,98,14,1.29,RU,1670196045
95,murakami,38.2333,139.4833,276.09,96,100,1.44,JP,1670196048
96,cayenne,4.9333,-52.3333,297.17,94,0,1.03,GF,1670196050
97,ponta do sol,32.6667,-17.1,290.93,85,99,8.32,PT,1670196052
98,malanje,-9.5402,16.341,290.25,99,100,1.2,AO,1670196055
99,khor,47.8861,134.9464,253.74,88,17,5.77,RU,1670196057
100,wad rawah,15.1603,33.1397,299.23,36,0,4.78,SD,1670196059
101,wasilla,61.5814,-149.4394,269.98,87,75,2.06,US,1670196062
102,niksic,42.7731,18.9445,282.41,98,98,1.81,ME,1670196064
103,morondava,-20.2833,44.2833,299.26,72,90,3.69,MG,1670196066
104,verkhnyaya inta,65.9811,60.3094,256.62,98,97,2.61,RU,1670196071
105,asmara,15.3333,38.9333,284.65,79,12,0.97,ER,1670196073
106,mahebourg,-20.4081,57.7,298.31,78,40,3.09,MU,1670196075
107,ostrovnoy,68.0531,39.5131,267.89,89,97,6.47,RU,1670196078
108,srednekolymsk,67.45,153.6833,229.26,100,63,1.24,RU,1670196082
109,normandin,48.8333,-72.5321,263.32,85,85,3.09,CA,1670196086
110,aykhal,66.0,111.5,247.19,97,100,10.67,RU,1670196089
111,constitucion,-35.3333,-72.4167,289.91,65,1,7.26,CL,1670195943
112,tabuk,17.4189,121.4443,296.21,90,84,0.89,PH,1670196093
113,cherskiy,68.75,161.3,238.47,100,27,1.82,RU,1670196095
114,bilma,18.6853,12.9164,296.69,19,0,3.15,NE,1670196098
115,ballina,-28.8667,153.5667,297.05,76,48,3.43,AU,1670196100
116,cidreira,-30.1811,-50.2056,295.33,94,65,1.4,BR,1670195917
117,mpulungu,-8.7623,31.1141,295.08,79,100,0.49,ZM,1670196105
118,porto velho,-8.7619,-63.9039,299.18,94,20,0.0,BR,1670196107
119,qaanaaq,77.484,-69.3632,254.43,67,46,3.47,GL,1670195882
120,freeport,40.6576,-73.5832,280.14,58,0,1.54,US,1670196088
121,gat,31.61,34.7642,289.48,66,0,1.9,IL,1670195954
122,marsh harbour,26.5412,-77.0636,296.47,62,16,5.23,BS,1670196118
123,coquimbo,-29.9533,-71.3436,289.0,88,40,4.12,CL,1670196120
124,portland,45.5234,-122.6762,275.66,92,100,4.12,US,1670195504
125,hamilton,39.1834,-84.5333,276.72,49,0,2.06,US,1670196043
