City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,maragogi,-9.0122,-35.2225,24.85,85,31,5.31,BR,1670277579
1,morant bay,17.8815,-76.4093,29.79,76,28,6.16,JM,1670277581
2,tulu bolo,8.6667,38.2167,12.48,52,38,1.62,ET,1670277584
3,torbay,47.6666,-52.7314,4.31,95,100,1.57,CA,1670277644
4,mar del plata,-38.0023,-57.5575,24.41,75,0,8.94,AR,1670277604
5,vaini,-21.2,-175.2,25.69,82,79,8.62,TO,1670277686
6,castro,-24.7911,-50.0119,19.43,95,61,1.48,BR,1670277595
7,hasaki,35.7333,140.8333,5.68,86,100,11.76,JP,1670277690
8,concarneau,47.875,-3.9225,4.9,88,87,5.32,FR,1670277693
9,yaan,7.3833,8.5667,26.92,19,92,1.72,NG,1670277695
10,bathsheba,13.2167,-59.5167,26.7,81,73,2.74,BB,1670277698
11,bluff,-46.6,168.3333,10.45,62,72,4.18,NZ,1670277700
12,saint-joseph,-21.3667,55.6167,22.21,78,100,4.61,RE,1670277436
13,souillac,-20.5167,57.5167,24.21,88,75,4.63,MU,1670277665
14,kapaa,22.0752,-159.319,23.99,89,49,0.89,US,1670277709
15,busselton,-33.65,115.3333,13.91,71,0,5.11,AU,1670277711
16,jamestown,42.097,-79.2353,6.42,30,0,3.6,US,1670277713
17,albany,42.6001,-73.9662,5.25,48,100,0.45,US,1670277459
18,kavieng,-2.5744,150.7967,27.66,77,95,2.28,PG,1670277718
19,bucksport,44.5737,-68.7956,6.68,72,24,3.58,US,1670277720
20,keti bandar,24.1447,67.4497,22.57,63,0,3.75,PK,1670277722
21,port keats,-14.25,129.55,29.36,71,79,2.74,AU,1670277725
22,clyde river,70.4692,-68.5914,-9.87,92,100,3.09,CA,1670277727
23,port alfred,-33.5906,26.891,14.54,94,0,0.89,ZA,1670277729
24,savelugu,9.6244,-0.8253,30.61,21,61,2.41,GH,1670277732
25,hilo,19.7297,-155.09,27.38,87,67,4.02,US,1670277734
26,yellowknife,62.456,-114.3525,-30.25,69,20,4.63,CA,1670277493
27,nanortalik,60.1432,-45.2371,0.79,77,96,6.34,GL,1670277739
28,hobyo,5.3505,48.5268,26.71,77,100,7.64,SO,1670277741
29,ancud,-41.8697,-73.8203,13.65,97,95,5.53,CL,1670277744
30,katsuura,35.1333,140.3,7.01,95,100,9.0,JP,1670277746
31,hofn,64.2539,-15.2082,2.52,65,29,3.62,IS,1670277748
32,faanui,-16.4833,-151.75,26.37,77,76,7.98,PF,1670277751
33,morondava,-20.2833,44.2833,23.98,84,26,2.59,MG,1670277753
34,cabo san lucas,22.8909,-109.9124,29.73,63,68,0.45,MX,1670277755
35,nikolskoye,59.7035,30.7861,-6.06,93,100,3.38,RU,1670277758
36,bilibino,68.0546,166.4372,-23.49,70,100,2.77,RU,1670277760
37,san jeronimo,-11.9472,-75.2829,13.84,56,90,2.72,PE,1670277763
38,mount isa,-20.7333,139.5,27.87,42,0,0.0,AU,1670277666
39,san cristobal,7.7669,-72.225,20.35,92,60,1.63,VE,1670277767
40,saint paul,44.9444,-93.0933,-1.06,63,100,5.14,US,1670277155
41,launceston,-41.45,147.1667,13.78,63,100,8.75,AU,1670277683
42,hobart,-42.8794,147.3294,14.03,66,75,4.63,AU,1670277313
43,hermanus,-34.4187,19.2345,12.67,68,99,1.93,ZA,1670277776
44,khatanga,71.9667,102.5,-33.23,100,18,2.05,RU,1670277778
45,pevek,69.7008,170.3133,-29.31,82,20,1.54,RU,1670277780
46,port macquarie,-31.4333,152.9167,24.38,64,69,4.85,AU,1670277714
47,hongjiang,27.11,109.9956,2.55,91,25,1.38,CN,1670277785
48,allapalli,19.4167,80.0667,15.07,60,45,0.94,IN,1670277787
49,goderich,43.7501,-81.7165,3.84,58,100,9.0,CA,1670277701
50,bredasdorp,-34.5322,20.0403,14.74,68,100,0.91,ZA,1670277792
51,punta arenas,-53.15,-70.9167,8.95,42,71,8.63,CL,1670277794
52,qandala,11.472,49.8728,23.75,70,31,1.8,SO,1670277797
53,port elizabeth,-33.918,25.5701,16.29,90,2,0.89,ZA,1670277799
54,bouafle,6.9904,-5.7442,23.87,82,96,1.7,CI,1670277801
55,puri,19.8,85.85,18.29,53,1,3.54,IN,1670277804
56,adamantina,-21.6853,-51.0725,24.05,77,100,0.13,BR,1670277594
57,samarai,-10.6167,150.6667,27.69,73,85,2.44,PG,1670277808
58,mataura,-46.1927,168.8643,10.27,90,97,1.57,NZ,1670277811
59,sao filipe,14.8961,-24.4956,22.57,68,32,3.02,CV,1670277817
60,sungaipenuh,-2.0833,101.3833,17.67,96,100,0.92,ID,1670277820
61,sitka,57.0531,-135.33,3.55,91,100,2.5,US,1670277822
62,dickinson,29.4608,-95.0513,27.22,79,75,9.26,US,1670277825
63,evensk,61.95,159.2333,-14.61,94,100,2.5,RU,1670277827
64,chokurdakh,70.6333,147.9167,-37.81,99,37,3.24,RU,1670277829
65,komatipoort,-25.4332,31.9548,21.43,95,99,1.22,ZA,1670277832
66,norman wells,65.282,-126.8329,-30.42,91,19,4.69,CA,1670277834
67,ribeira grande,38.5167,-28.7,16.54,81,100,6.71,PT,1670277839
68,lebu,-37.6167,-73.65,17.1,72,1,2.36,CL,1670277545
69,el alto,-4.2714,-81.2147,20.48,72,15,6.93,PE,1670277844
70,polovinnoye,54.7914,65.9864,-19.46,99,12,0.92,RU,1670277846
71,kununurra,-15.7667,128.7333,27.99,89,54,1.03,AU,1670277847
72,richards bay,-28.783,32.0377,20.76,79,100,6.78,ZA,1670277851
73,vardo,70.3705,31.1107,-3.01,93,100,2.06,NO,1670277855
74,hithadhoo,-0.6,73.0833,27.26,77,98,3.84,MV,1670277857
75,skibbereen,51.55,-9.2667,7.84,83,100,9.05,IE,1670277862
76,cherskiy,68.75,161.3,-25.38,88,100,2.83,RU,1670277864
77,east london,-33.0153,27.9116,15.71,85,4,4.94,ZA,1670277867
78,caravelas,-17.7125,-39.2481,22.55,85,100,2.65,BR,1670277869
79,rikitea,-23.1203,-134.9692,24.23,81,95,6.23,PF,1670277859
80,upernavik,72.7868,-56.1549,-3.01,82,29,4.75,GL,1670277874
81,lompoc,34.6391,-120.4579,17.69,63,0,5.66,US,1670277876
82,tuatapere,-46.1333,167.6833,10.05,77,93,2.38,NZ,1670277878
83,avarua,-21.2078,-159.775,25.03,88,100,2.57,CK,1670277881
84,whitianga,-36.8333,175.7,19.51,59,96,3.37,NZ,1670277883
85,mareeba,-17.0,145.4333,23.4,85,2,0.32,AU,1670277885
86,cuamba,-14.8031,36.5372,22.65,71,13,1.51,MZ,1670277888
87,yantal,56.8471,105.2542,-12.94,91,100,6.79,RU,1670277892
88,kapoeta,4.7717,33.5903,26.88,46,67,1.35,SS,1670277895
89,saint-philippe,-21.3585,55.7679,22.77,79,99,4.42,RE,1670277899
90,ushuaia,-54.8,-68.3,6.81,57,40,9.77,AR,1670277902
91,nagato,34.3833,131.2,6.49,63,43,6.24,JP,1670277904
92,new norfolk,-42.7826,147.0587,13.29,59,93,0.89,AU,1670277661
93,mendi,-6.1761,143.6513,14.16,96,100,0.2,PG,1670277770
94,homer,59.6425,-151.5483,3.91,93,100,1.79,US,1670277911
95,creston,41.0586,-94.3614,6.85,45,0,3.09,US,1670277913
96,georgetown,5.4112,100.3354,27.35,86,20,0.0,MY,1670277698
97,manglisi,41.697,44.3845,-4.67,93,100,1.54,GE,1670277920
98,college,64.8569,-147.8028,-7.28,88,75,0.0,US,1670277922
99,hirara,24.8,125.2833,19.15,94,75,9.26,JP,1670277927
100,kokopo,-4.352,152.2633,26.46,80,89,2.03,PG,1670277929
101,rio negrinho,-26.2544,-49.5183,20.52,100,59,1.89,BR,1670277931
102,skjervoy,70.0311,20.9714,0.0,97,100,5.02,NO,1670277936
103,atuona,-9.8,-139.0333,25.3,74,91,7.0,PF,1670277938
104,kupang,-10.1667,123.5833,23.32,100,20,1.03,ID,1670277941
105,qaanaaq,77.484,-69.3632,0.77,87,100,7.52,GL,1670277943
106,pisco,-13.7,-76.2167,22.03,68,0,3.6,PE,1670277945
107,westport,41.1415,-73.3579,7.67,60,100,1.34,US,1670277273
108,nome,64.5011,-165.4064,-0.96,86,75,8.23,US,1670277950
109,ust-nera,64.5667,143.2,-41.81,98,99,1.11,RU,1670277952
110,constitucion,-35.3333,-72.4167,17.5,65,6,7.47,CL,1670277954
111,gonaives,19.45,-72.6833,24.96,64,4,3.97,HT,1670277957
112,talnakh,69.4865,88.3972,-3.77,96,100,5.83,RU,1670277961
113,celestun,20.8667,-90.4,27.05,61,97,4.74,MX,1670277963
114,luanda,-8.8368,13.2343,27.0,78,20,3.6,AO,1670277913
115,quimper,48.0,-4.1,3.31,93,20,2.57,FR,1670277702
116,havelock,34.8791,-76.9013,13.0,82,75,3.6,US,1670277902
117,alofi,-19.0595,-169.9187,27.94,78,75,4.63,NU,1670277972
118,thompson,55.7435,-97.8558,-26.13,91,65,3.2,CA,1670277974
119,saint-augustin,51.226,-58.6502,-5.98,85,6,1.38,CA,1670277977
120,puerto ayora,-0.7393,-90.3518,24.98,89,52,2.68,EC,1670277979
121,meulaboh,4.1363,96.1285,23.18,93,100,1.61,ID,1670277982
122,marmaris,36.855,28.2742,15.62,70,0,2.07,TR,1670277656
123,beloha,-25.1667,45.05,26.68,60,15,3.73,MG,1670277986
124,farah,32.5,62.5,6.93,39,96,0.93,AF,1670277988
125,belaya gora,68.5333,146.4167,-39.69,96,80,1.39,RU,1670277991
126,bell ville,-32.6259,-62.6887,37.11,9,0,6.03,AR,1670277993
127,deer lake,49.1667,-57.4316,-9.23,96,16,0.7,CA,1670277996
128,san lorenzo,-25.3333,-57.5333,32.52,46,20,3.6,PY,1670277998
129,uyuni,-20.4597,-66.825,15.14,27,98,9.96,BO,1670278000
130,lorengau,-2.0226,147.2712,26.74,82,100,1.8,PG,1670278003
131,nizwa,22.9333,57.5333,18.54,66,0,0.52,OM,1670278005
132,bojnurd,37.4747,57.329,-1.56,81,16,0.71,IR,1670278008
133,barrow,71.2906,-156.7887,-1.99,64,0,13.38,US,1670278010
134,ewa beach,21.3156,-158.0072,27.97,63,40,4.63,US,1670278012
135,rosetta,31.4044,30.4164,18.61,69,99,5.39,EG,1670278015
136,lazaro cardenas,17.9583,-102.2,28.22,70,0,2.98,MX,1670278017
137,saint george,37.1041,-113.5841,15.53,52,0,2.68,US,1670278019
138,bambous virieux,-20.3428,57.7575,24.14,88,75,4.63,MU,1670278022
139,tateyama,34.9833,139.8667,6.96,87,75,5.66,JP,1670278024
140,north myrtle beach,33.816,-78.68,14.49,81,100,0.0,US,1670278029
141,saskylakh,71.9167,114.0833,-24.43,89,100,8.82,RU,1670278031
142,ixtapa,20.7,-105.2,27.9,74,0,4.63,MX,1670278033
143,ponta do sol,32.6667,-17.1,19.35,78,100,0.7,PT,1670278038
144,camacha,33.0833,-16.3333,14.68,82,20,0.0,PT,1670278040
145,spalene porici,49.6137,13.6056,3.07,98,100,2.95,CZ,1670278042
146,tuktoyaktuk,69.4541,-133.0374,-25.71,78,100,9.87,CA,1670278045
147,aviles,43.5547,-5.9248,11.21,79,0,2.06,ES,1670278047
148,steinbach,50.1667,8.5667,5.34,93,100,3.09,DE,1670277455
149,los llanos de aridane,28.6585,-17.9182,18.86,84,100,3.58,ES,1670278054
150,san patricio,28.017,-97.5169,27.05,64,75,6.05,US,1670278056
151,bikaner,28.0167,73.3,13.98,29,0,2.02,IN,1670278058
152,airai,-8.9266,125.4092,15.66,70,86,0.68,TL,1670278061
153,aklavik,68.2191,-135.0107,-25.43,83,100,9.69,CA,1670278063
154,lata,40.1629,-8.3327,12.26,92,100,1.33,PT,1670278067
